,pathName,B1_count,B1_mean,B1_median,F1_count,F1_mean,F1_median,F2_count,F2_mean,F2_median,F3_count,F3_mean,F3_median,F4_count,F4_mean,F4_median,common_count,common_mean,common_median
0,046cfa46be49fc10834815c6,8,-81,-81,373,-80.1849865952,-79,0,0,0,0,0,0,0,0,0,13531,-72.5796319562,-73
1,05d052dde78384b0c543d89c,0,0,0,289,-81.5190311419,-82,0,0,0,0,0,0,0,0,0,10366,-78.2949064249,-80
2,0c06cc9f21d172618d74c6c8,6218,-77.7541009971,-80,0,0,0,0,0,0,0,0,0,0,0,0,4158,-72.7864357864,-76
3,146035943a1482883ed98570,4254,-74.6123648331,-78,0,0,0,0,0,0,0,0,0,0,0,0,513,-79.1052631579,-81
4,1ef2771dfea25d508142ba06,0,0,0,297,-80.2592592593,-81,0,0,0,0,0,0,0,0,0,13101,-77.35821693,-78
5,3506b3b626f494b0f0b934ca,36,-71.6666666667,-71,566,-74.6961130742,-75,0,0,0,0,0,0,0,0,0,17662,-73.6595515797,-74
6,3e0aebb66ef39150bbc27c24,0,0,0,768,-80.8020833333,-84,0,0,0,0,0,0,0,0,0,12347,-76.1870899814,-78
7,3e1d46017fbfcc8136bd1e9b,0,0,0,240,-74.8083333333,-73.5,0,0,0,0,0,0,0,0,0,16981,-73.7922383841,-76
8,412da1891c4780f6f0f7f4bc,0,0,0,573,-75.1413612565,-77,0,0,0,0,0,0,0,0,0,14153,-76.7693068607,-78
9,6d89334316127640cff99800,7595,-76.1295589203,-77,0,0,0,0,0,0,0,0,0,0,0,0,3386,-79.5094506793,-85
10,72963a8c7eb520c56f88a536,2755,-79.4943738657,-81,0,0,0,0,0,0,0,0,0,0,0,0,3828,-76.6833855799,-81
11,7d2d723a30cce824aad9915b,2755,-79.22323049,-81,0,0,0,0,0,0,0,0,0,0,0,0,4271,-77.4556309998,-82
12,947e17f82dbddfbdb4cb2447,14,-89,-89,556,-73.7428057554,-72,0,0,0,0,0,0,0,0,0,17099,-68.1430493011,-67
13,986924433ab01afa81a59e7a,0,0,0,662,-69.1163141994,-73,374,-83.3048128342,-81,0,0,0,0,0,0,19555,-79.9219125543,-83
14,a3c5aadf824a220327e9cdc6,0,0,0,0,0,0,47,-60.4042553191,-59,0,0,0,0,0,0,12957,-82.2828586864,-85
15,ac1a2e8f11ab64d729199969,3085,-79.7724473258,-82,0,0,0,0,0,0,0,0,0,0,0,0,3808,-74.856092437,-78
16,bb84ab5e77fc9f5fdbd52827,0,0,0,563,-77.7548845471,-80,0,0,0,0,0,0,0,0,0,15987,-75.8506911866,-77
17,bd0f2c8626679895f3338ca5,6643,-77.8702393497,-80,0,0,0,0,0,0,0,0,0,0,0,0,353,-78.3342776204,-82
18,bd5921cd1008382e2f537b53,2396,-81.8952420701,-84,0,0,0,0,0,0,13,-87,-87,0,0,0,2878,-75.6059763725,-79
19,ce80c08d743f15e6586741f6,0,0,0,133,-80.7443609023,-81,0,0,0,0,0,0,0,0,0,12690,-76.9472025217,-78
20,d592885af4e6e380c376dc55,1822,-76.2947310648,-79,0,0,0,0,0,0,0,0,0,0,0,0,1075,-83.0362790698,-85
21,d6e09245089299ec8e5173e7,0,0,0,346,-76.274566474,-75,0,0,0,0,0,0,0,0,0,14247,-68.3547413491,-68
22,dd4cbd69218f610f27cf33c8,0,0,0,0,0,0,57,-79.8421052632,-80,325,-88.8,-90,0,0,0,14548,-80.8238245807,-83
23,de9cef0d69383e47bd74a64c,47,-84.2765957447,-85,521,-79.1996161228,-77,0,0,0,0,0,0,0,0,0,13923,-75.9639445522,-77
24,e91afaba9603500e8e28a454,0,0,0,796,-75.2324120603,-80,0,0,0,0,0,0,0,0,0,10968,-77.6266411379,-80
25,ea777463a91a1293fc79fc52,8,-87,-87,359,-74.0055710306,-74,0,0,0,0,0,0,0,0,0,13188,-73.6161662117,-74
26,ec9aee8ee72b1902bd83edf5,0,0,0,341,-78.7507331378,-83,0,0,0,0,0,0,0,0,0,13287,-73.323699857,-74
27,ed77f28aeaf89b317bc380fa,0,0,0,0,0,0,0,0,0,16,-78.1875,-73,0,0,0,7598,-78.3818110029,-80
28,ffcd9524c80c0fa5bb859eaf,4170,-79.6558752998,-82,0,0,0,0,0,0,0,0,0,0,0,0,427,-82.3419203747,-84
